iter	Logloss
0	0.6323196746
1	0.5870241225
2	0.5529677018
3	0.5273181767
4	0.526281023
55	0.492233567
6	0.4931589922
77	0.436270953
8	0.4722791859	0.412932947
10	0.4038545695
11	0.3973807847
12	0.3916217037
13	0.3866369713
14	0.381766847
15	0.3776453993
16	0.3724023627
17	0.371022145
18	0.3686246931
19	0.3639114987
20	0.3627208245
21	0.3590694499
22	0.3550122178
23	0.3533030344
24	0.3513319255
25	0.3472284439
26	0.3456487574
27	0.3421946857
28	0.3406850601
29	0.339162343
30	0.3384655896
31	0.3378648223
32	0.3357069076
33	0.3345955451
34	0.3332638533
35	0.3311746648
36	0.330926064
37	0.3296777155
38	0.3295326686
39	0.3293440015
40	0.3281490981
41	0.3275064367
42	0.3272963372
43	0.3269507179
44	0.3266718172
45	0.3251909266
46	0.3235837752
47	0.3228697599
48	0.3218318785
49	0.3203100378
50	0.3194453872
51	0.3193963361
52	0.3191963438
53	0.3187263279
54	0.3180066655
55	0.3170435703
56	0.3165102258
57	0.3159784847
58	0.3151440888
59	0.3145110882
60	0.3137922309
61	0.3125096088
62	0.3116290866
63	0.3106466721
64	0.3095225189
65	0.3087724496
66	0.3086121899
67	0.3079044678
68	0.3076192768
69	0.3073482558
70	0.3064749434
71	0.3062452193
72	0.3057226778
73	0.3050228391
74	0.3045072845
75	0.3040651659
76	0.3036111255
77	0.3029880895
78	0.3023843216
79	0.3019249796
80	0.3010417732
81	0.3004555153
82	0.3001167239
83	0.2993798367
84	0.2991213464
85	0.2987393813
86	0.2984901232
87	0.2979829757
88	0.2976406846
89	0.2972165981
90	0.2967269525
91	0.296439231
92	0.2957975552
93	0.2956848642
94	0.295371453
95	0.2949615364
96	0.2944453669
97	0.2942521476
98	0.2937224201
99	0.2931545256
100	0.2928693057
101	0.2928358454
102	0.2926171212
103	0.2924151777
104	0.2922131005
105	0.2920670992
106	0.2915038758
107	0.2913431616
108	0.2911733081
109	0.2909713958
110	0.2907715215
111	0.2902268056
112	0.2898896454
113	0.2897040829
114	0.2893145738
115	0.2891527299
116	0.2889821411
117	0.2885101748
118	0.2883465721
119	0.2881568124
120	0.2878080892
121	0.2876842386
122	0.287554276
123	0.2874068278
124	0.2872739358
125	0.2870569794
126	0.2866382851
127	0.2865245157
128	0.2863775057
129	0.2862515026
130	0.286137898
131	0.2860152261
132	0.2859132401
133	0.2857100711
134	0.2854456723
135	0.2853448465
136	0.2850873589
137	0.2848014735
138	0.2845420889
139	0.2844458941
140	0.2842002606
141	0.2841138699
142	0.2839094204
143	0.2836733303
144	0.2835823138
145	0.2834323403
146	0.2833619801
147	0.2832760209
148	0.2831095394
149	0.2830469824
150	0.2829802564
151	0.2829013599
152	0.2827289765
153	0.2826738833
154	0.2825566044
155	0.2824920769
156	0.2823131307
157	0.2822324717
158	0.2820711195
159	0.2820094389
160	0.281846472
161	0.2817453321
162	0.2816584274
163	0.2815963093
164	0.2815477744
165	0.2814127842
166	0.2813547853
167	0.2812998235
168	0.2812526538
169	0.2811073581
170	0.2810607699
171	0.2809463052
172	0.2808911823
173	0.2808429564
174	0.2807041447
175	0.2805750229
176	0.2804583211
177	0.2803818526
178	0.2802908673
179	0.2802075575
180	0.2801532047
181	0.2800926315
182	0.2799872505
183	0.2799196919
184	0.2798829324
185	0.2798362432
186	0.27980159
187	0.279740595
188	0.2796396905
189	0.2795624436
190	0.2794996897
191	0.2794402552
192	0.2793605038
193	0.2792896749
194	0.2792492656
195	0.2791642794
196	0.2791200702
197	0.2790423851
198	0.278958868
199	0.2788935287
9908
