iter	Passed	Remaining
0	9	1805
1	17	1740
2	22	1461
3	25	1267
4	4	142	555	57	1854
6	766	235	64907	225	5412
88	293	62379	284	5400
10	366	6297
11	408	6398
12	483	6961
13	527	7014
14	536	6622
15	650	7481
16	690	7430
17	720	7287
18	732	6978
19	752	6775
20	771	6572
21	822	6653
22	870	6695
23	900	6602
24	907	6354
25	924	6189
26	963	6171
27	988	6069
28	1025	6046
29	1076	6101
30	1109	6046
31	1142	6000
32	1165	5900
33	1171	5718
34	1217	5739
35	1229	5601
36	1235	5443
37	1258	5365
38	1298	5359
39	1315	5261
40	1410	5468
41	1441	5423
42	1459	5327
43	1471	5218
44	1478	5093
45	1517	5078
46	1555	5063
47	1608	5095
48	1628	5019
49	1653	4960
50	1730	5054
51	1743	4963
52	1748	4850
53	1765	4774
54	1844	4863
55	1924	4948
56	1985	4982
57	2096	5133
58	2159	5159
59	2176	5078
60	2239	5103
61	2286	5088
62	2342	5094
63	2379	5056
64	2421	5029
65	2466	5007
66	2482	4928
67	2558	4966
68	2574	4888
69	2595	4820
70	2640	4797
71	2653	4716
72	2698	4695
73	2755	4691
74	2801	4669
75	2828	4614
76	2866	4578
77	2906	4546
78	2967	4545
79	3037	4555
80	3066	4505
81	3136	4513
82	3198	4508
83	3217	4442
84	3281	4439
85	3314	4393
86	3354	4356
87	3394	4320
88	3458	4313
89	3509	4288
90	3575	4283
91	3629	4260
92	3650	4199
93	3679	4149
94	3717	4108
95	3758	4071
96	3793	4028
97	3831	3987
98	3883	3961
99	3907	3907
100	3950	3871
101	3962	3807
102	4022	3788
103	4098	3782
104	4134	3740
105	4163	3691
106	4181	3634
107	4196	3574
108	4221	3524
109	4250	3477
110	4289	3439
111	4312	3388
112	4327	3332
113	4378	3302
114	4391	3245
115	4441	3216
116	4465	3167
117	4528	3147
118	4569	3110
119	4611	3074
120	4640	3029
121	4683	2994
122	4721	2955
123	4773	2925
124	4816	2890
125	4845	2845
126	4892	2812
127	4929	2772
128	4959	2729
129	4987	2685
130	5005	2636
131	5026	2589
132	5055	2546
133	5078	2501
134	5099	2455
135	5121	2410
136	5155	2370
137	5174	2324
138	5197	2281
139	5216	2235
140	5234	2190
141	5254	2146
142	5272	2101
143	5290	2057
144	5308	2013
145	5320	1968
146	5335	1923
147	5351	1880
148	5367	1837
149	5384	1794
150	5410	1755
151	5424	1712
152	5438	1670
153	5449	1627
154	5468	1587
155	5488	1548
156	5505	1507
157	5524	1468
158	5539	1428
159	5557	1389
160	5573	1350
161	5589	1311
162	5605	1272
163	5622	1234
164	5636	1195
165	5648	1157
166	5662	1118
167	5676	1081
168	5686	1043
169	5708	1007
170	5722	970
171	5733	933
172	5746	896
173	5762	861
174	5777	825
175	5792	789
176	5810	755
177	5827	720
178	5845	685
179	5866	651
180	5875	616
181	5888	582
182	5899	548
183	5909	513
184	5925	480
185	5941	447
186	5952	413
187	5964	380
188	5974	347
189	5987	315
190	5998	282
191	6009	250
192	6020	218
193	6031	186
194	6039	154
195	6049	123
196	6056	92
197	6065	61
198	6072	30
199	6082	0
