iter	Passed	Remaining
0	5	1106
1	8	829
2	11	756
3	14	697
4	19	751
5	22	741
6	26	717
7	34	839
8	37	804
9	44	839
10	48	831
11	53	836
12	58	841
13	61	820
14	65	812
15	69	798
16	75	811
17	84	855
18	91	871
19	96	870
20	100	858
21	107	869
22	116	893
23	121	887
24	128	902
25	133	896
26	139	893
27	143	879
28	152	898
29	155	882
30	160	876
31	165	870
32	170	865
33	175	857
34	179	844
35	184	841
36	192	846
37	196	836
38	201	830
39	206	825
40	210	815
41	214	807
42	219	802
43	227	808
44	234	806
45	239	800
46	243	793
47	251	795
48	256	789
49	259	778
50	266	778
51	269	767
52	275	763
53	279	756
54	286	754
55	291	749
56	294	739
57	301	737
58	307	735
59	314	734
60	320	729
61	326	727
62	331	721
63	337	716
64	345	717
65	352	716
66	358	710
67	361	701
68	368	700
69	374	694
70	379	689
71	386	687
72	391	681
73	400	681
74	408	680
75	414	676
76	421	672
77	427	668
78	434	665
79	441	662
80	449	659
81	456	656
82	462	652
83	468	646
84	474	641
85	481	638
86	489	635
87	496	632
88	504	629
89	512	626
90	520	624
91	527	618
92	533	614
93	540	609
94	547	605
95	554	600
96	561	596
97	569	592
98	575	586
99	583	583
100	589	578
101	598	575
102	605	569
103	613	565
104	619	560
105	627	556
106	634	551
107	641	546
108	649	541
109	654	535
110	662	530
111	668	525
112	677	521
113	683	515
114	690	510
115	698	505
116	704	499
117	711	494
118	717	488
119	726	484
120	733	478
121	741	473
122	748	468
123	754	462
124	761	456
125	767	450
126	775	445
127	781	439
128	789	434
129	795	428
130	802	422
131	809	417
132	815	410
133	823	405
134	829	399
135	836	393
136	842	387
137	848	381
138	856	375
139	862	369
140	871	364
141	877	358
142	883	352
143	890	346
144	897	340
145	907	335
146	913	329
147	920	323
148	926	317
149	934	311
150	940	305
151	947	299
152	954	293
153	960	286
154	968	281
155	974	274
156	981	268
157	988	262
158	996	256
159	1003	250
160	1009	244
161	1016	238
162	1023	232
163	1030	226
164	1037	219
165	1043	213
166	1050	207
167	1056	201
168	1064	195
169	1070	188
170	1077	182
171	1084	176
172	1090	170
173	1097	164
174	1104	157
175	1111	151
176	1117	145
177	1125	139
178	1132	132
179	1137	126
180	1144	120
181	1151	113
182	1159	107
183	1165	101
184	1172	95
185	1179	88
186	1185	82
187	1193	76
188	1199	69
189	1206	63
190	1211	57
191	1218	50
192	1225	44
193	1231	38
194	1239	31
195	1245	25
196	1252	19
197	1259	12
198	1266	6
199	1273	0
